time,sensorVal0,sensorValConfidence0,sensorVal1,sensorValConfidence1,sensorVal2,sensorValConfidence2,sensorVal3,sensorValConfidence3,traditionalEstDiff,overlapEstDiff,tradDuration,overlapDuration,updateDuration
1,2,172,2,225,1,226,0,226,1.25,1,10925,7753,29081
2,-1,151,3,222,2,218,3,218,1.75,2.66667,9613,7017,21689
3,2,166,1,227,5,225,-1,220,1.75,1.66667,9627,7179,21199
4,-1,162,3,227,3,221,1,219,1.5,2.33333,8334,5728,21280
5,-1,177,2,229,3,225,3,228,1.75,2.66667,6711,4653,21741
6,3,176,1,227,3,227,2,227,2.25,2,5403,3653,21410
7,1,170,4,229,4,226,0,222,2.25,2.66667,5593,3768,21258
8,-1,160,4,223,2,220,1,223,1.5,2.33333,5547,3719,21209
9,-1,189,2,229,2,234,3,232,1.5,2.33333,6566,5125,21732
10,3,165,2,223,4,224,2,225,2.75,2.66667,5499,3616,20563
11,-1,160,4,225,3,221,-1,220,1.25,2,5401,3546,21126
12,1,167,1,225,3,223,-1,226,1,1,5641,3544,21861
13,2,169,3,225,4,223,2,226,2.75,3,11479,3682,21021
14,0,181,5,229,2,228,2,229,2.25,3,5618,3721,20484
15,0,167,5,227,5,225,1,221,2.75,3.66667,5384,3640,20182
16,3,176,4,228,3,227,2,226,3,3,5604,3724,20314
17,-1,176,5,225,3,227,-1,229,1.5,2.33333,6610,5024,41411
18,2,180,2,225,5,229,0,232,2.25,2.33333,5415,3608,13266
19,-1,169,3,224,2,226,2,225,1.5,2.33333,5454,3701,12868
20,2,161,5,221,5,222,2,225,3.5,4,5541,3899,12936
21,1,163,5,222,1,222,0,225,1.75,2,5588,3632,13039
22,1,165,3,224,1,219,1,228,1.5,1.66667,5610,3634,13095
23,-1,177,5,228,1,228,-1,228,1,1.66667,5224,3549,12750
24,0,174,5,228,1,226,3,226,2.25,3,5311,3555,12901
25,1,169,5,223,1,226,2,226,2.25,2.66667,5401,3581,12924
26,-1,174,1,228,3,228,1,224,1,1.66667,5274,3695,12966
27,-1,164,3,227,4,221,0,221,1.5,2.33333,4196,2925,12894
28,1,134,3,216,5,211,2,213,2.75,3.33333,4442,2985,12905
29,-1,163,4,221,3,222,3,225,2.25,3.33333,4199,2995,13306
30,2,180,2,228,5,231,3,227,3,3.33333,4411,2906,12943
31,-1,162,1,223,4,222,1,223,1.25,2,4221,2869,12811
32,0,169,3,225,4,226,-1,224,1.5,2,4348,2839,13055
33,-1,191,5,232,4,236,-1,229,1.75,2.66667,5640,4224,12964
34,3,168,4,228,5,222,0,223,3,3,4522,2960,13111
35,-1,179,2,226,1,229,3,230,1.25,2,4382,2873,12995
36,2,172,4,223,3,228,0,229,2.25,2.33333,4264,2851,12854
37,2,161,1,219,3,224,2,224,2,2,4296,2884,13028
38,1,161,3,221,4,223,0,224,2,2.33333,4255,2997,13088
